volume peso recompensa duração(s)
7 23 907 152
16 22 1579 619
6 10 1572 528
19 25 844 478
28 6 1953 299
22 3 1565 763
22 16 644 313
10 10 553 631
7 26 1166 552
26 29 610 917
16 13 654 720
16 29 1694 404
19 22 1440 777
7 20 1241 674
6 3 1176 551
26 16 1303 358
3 3 699 786
19 3 522 1009
10 29 1065 111
28 9 1185 918
22 25 1227 810
22 16 1598 841
10 13 414 478
7 16 764 617
9 16 814 281
19 19 1990 106
29 19 1268 1095
13 26 1253 542
29 26 1724 482
25 22 471 448
16 6 1907 397
28 25 952 377
22 3 480 1037
16 20 816 1079
6 22 794 783
16 26 1789 1077
26 13 1295 104
