volMax pesoMax custo
292 289 14548
385 254 14819
382 304 14967
259 310 16154
397 321 13931
259 354 13356
393 377 16543
292 289 14548
310 387 14105
368 308 16575
360 331 15444
287 304 15787
288 346 13476
296 271 13742
262 389 15106
385 254 14819
368 308 16575
296 271 13742
335 265 15168
394 379 13241
287 342 15977
368 308 16575
344 306 14015
292 316 16581
268 346 14777
335 265 15168
336 345 14342
366 375 15556
262 384 15363
256 289 14860
259 310 16154
360 331 15444
278 386 16833
262 389 15106
366 375 15556
262 384 15363
285 258 13044
287 342 15977
328 398 13956
368 308 16575
285 258 13044
281 287 14581
335 381 15531
336 345 14342
288 346 13476
308 371 13865
391 395 13796
398 378 15048
325 316 13378
391 395 13796
395 315 16790
376 262 16090
365 259 16982
258 289 14932
328 398 13956
366 375 15556
262 384 15363
308 371 13865
292 316 16581
296 271 13742
285 258 13044
277 399 14862
292 289 14548
265 274 14952
268 346 14777
368 308 16575
378 272 15057
287 304 15787
391 395 13796
376 262 16090
262 384 15363
259 310 16154
395 315 16790
268 346 14777
288 346 13476
277 399 14862
391 395 13796
328 398 13956
385 254 14819
262 389 15106
265 274 14952
328 398 13956
308 371 13865
285 258 13044
259 310 16154
287 342 15977
370 366 13618
335 383 16287
328 398 13956
335 381 15531
262 384 15363
258 289 14932
385 254 14819
258 289 14932
335 265 15168
287 342 15977
292 289 14548
370 366 13618
285 258 13044
287 342 15977
385 254 14819
393 377 16543
253 386 13481
308 371 13865
285 258 13044
355 322 13718
262 389 15106
335 381 15531
393 377 16543
265 274 14952
262 384 15363
344 306 14015
394 379 13241
253 386 13481
365 259 16982
378 272 15057
360 331 15444
378 272 15057
258 289 14932
256 289 14860
255 275 13025
366 375 15556
393 377 16543
335 383 16287
394 351 15473
288 346 13476
376 262 16090
395 315 16790
388 268 14521
256 289 14860
288 346 13476
278 386 16833
378 272 15057
253 386 13481
292 316 16581
256 289 14860
268 346 14777
393 377 16543
328 398 13956
344 306 14015
370 366 13618
368 308 16575
335 383 16287
308 371 13865
292 316 16581
388 268 14521
336 345 14342
325 316 13378
360 331 15444
382 304 14967
365 259 16982
360 331 15444
335 265 15168
287 304 15787
344 306 14015
328 398 13956
265 274 14952
253 386 13481
292 316 16581
376 262 16090
335 383 16287
278 386 16833
335 383 16287
296 271 13742
259 354 13356
265 274 14952
343 277 15226
343 277 15226
310 387 14105
368 308 16575
344 306 14015
391 395 13796
335 383 16287
255 275 13025
288 346 13476
382 304 14967
258 289 14932
343 277 15226
398 378 15048
253 386 13481
285 258 13044
285 258 13044
328 398 13956
335 383 16287
292 289 14548
388 268 14521
391 395 13796
268 346 14777
285 258 13044
268 346 14777
262 389 15106
355 322 13718
292 316 16581
278 386 16833
336 345 14342
328 398 13956
281 287 14581
268 346 14777
287 304 15787
394 379 13241
259 310 16154
287 342 15977
253 386 13481
265 274 14952
296 271 13742
394 351 15473
281 287 14581
256 289 14860
288 346 13476
397 321 13931
259 310 16154
360 331 15444
376 262 16090
277 399 14862
310 387 14105
366 375 15556
296 271 13742
259 310 16154
308 371 13865
335 265 15168
391 395 13796
259 354 13356
368 308 16575
253 386 13481
378 272 15057
365 301 13406
256 289 14860
336 345 14342
281 287 14581
368 308 16575
288 346 13476
366 375 15556
292 316 16581
365 259 16982
287 342 15977
368 308 16575
287 342 15977
398 378 15048
355 322 13718
385 254 14819
388 268 14521
336 345 14342
278 386 16833
355 322 13718
397 321 13931
265 274 14952
296 271 13742
278 386 16833
343 277 15226
393 377 16543
262 389 15106
255 275 13025
285 258 13044
258 289 14932
365 259 16982
391 395 13796
394 379 13241
378 272 15057
394 379 13241
394 379 13241
268 346 14777
268 346 14777
256 289 14860
310 387 14105
309 377 15136
391 395 13796
328 398 13956
335 381 15531
368 308 16575
397 321 13931
256 289 14860
308 371 13865
292 289 14548
308 371 13865
296 271 13742
370 366 13618
343 277 15226
262 384 15363
292 316 16581
281 287 14581
309 377 15136
325 316 13378
277 399 14862
398 378 15048
281 287 14581
378 272 15057
259 310 16154
285 258 13044
355 322 13718
277 399 14862
256 289 14860
310 387 14105
287 342 15977
328 398 13956
395 315 16790
378 272 15057
366 375 15556
343 277 15226
382 304 14967
296 271 13742
259 310 16154
397 321 13931
378 272 15057
344 306 14015
388 268 14521
382 304 14967
365 301 13406
368 308 16575
360 331 15444
310 387 14105
388 268 14521
355 322 13718
365 259 16982
382 304 14967
391 395 13796
397 321 13931
277 399 14862
287 342 15977
325 316 13378
258 289 14932
292 316 16581
259 354 13356
285 258 13044
365 259 16982
309 377 15136
365 301 13406
394 379 13241
277 399 14862
287 304 15787
278 386 16833
328 398 13956
259 354 13356
395 315 16790
343 277 15226
259 354 13356
344 306 14015
287 342 15977
370 366 13618
292 316 16581
368 308 16575
394 379 13241
288 346 13476
366 375 15556
355 322 13718
335 381 15531
255 275 13025
277 399 14862
336 345 14342
376 262 16090
287 342 15977
365 259 16982
382 304 14967
382 304 14967
394 379 13241
365 301 13406
310 387 14105
292 289 14548
292 289 14548
360 331 15444
368 308 16575
253 386 13481
262 384 15363
262 384 15363
382 304 14967
287 304 15787
398 378 15048
394 379 13241
277 399 14862
256 289 14860
287 342 15977
368 308 16575
287 342 15977
253 386 13481
278 386 16833
394 379 13241
325 316 13378
365 301 13406
287 342 15977
287 342 15977
308 371 13865
397 321 13931
398 378 15048
281 287 14581
309 377 15136
365 301 13406
310 387 14105
256 289 14860
385 254 14819
296 271 13742
262 389 15106
253 386 13481
292 316 16581
378 272 15057
360 331 15444
292 316 16581
262 389 15106
366 375 15556
296 271 13742
370 366 13618
262 389 15106
258 289 14932
391 395 13796
394 379 13241
277 399 14862
287 304 15787
376 262 16090
292 316 16581
292 289 14548
259 354 13356
259 310 16154
288 346 13476
256 289 14860
378 272 15057
336 345 14342
296 271 13742
287 342 15977
325 316 13378
378 272 15057
366 375 15556
397 321 13931
393 377 16543
378 272 15057
394 351 15473
253 386 13481
391 395 13796
394 351 15473
262 389 15106
391 395 13796
287 342 15977
296 271 13742
281 287 14581
277 399 14862
394 379 13241
388 268 14521
292 316 16581
265 274 14952
360 331 15444
292 316 16581
310 387 14105
393 377 16543
344 306 14015
309 377 15136
310 387 14105
288 346 13476
287 342 15977
355 322 13718
262 384 15363
376 262 16090
391 395 13796
355 322 13718
335 265 15168
360 331 15444
336 345 14342
259 354 13356
335 383 16287
360 331 15444
328 398 13956
335 265 15168
268 346 14777
388 268 14521
287 342 15977
308 371 13865
382 304 14967
336 345 14342
343 277 15226
287 342 15977
355 322 13718
325 316 13378
398 378 15048
388 268 14521
335 265 15168
262 389 15106
395 315 16790
391 395 13796
382 304 14967
262 384 15363
258 289 14932
255 275 13025
385 254 14819
336 345 14342
287 342 15977
382 304 14967
285 258 13044
336 345 14342
397 321 13931
336 345 14342
335 383 16287
308 371 13865
296 271 13742
398 378 15048
259 354 13356
253 386 13481
370 366 13618
253 386 13481
265 274 14952
368 308 16575
366 375 15556
378 272 15057
285 258 13044
262 389 15106
366 375 15556
292 316 16581
278 386 16833
328 398 13956
382 304 14967
277 399 14862
368 308 16575
335 381 15531
394 351 15473
365 301 13406
259 310 16154
370 366 13618
365 301 13406
262 389 15106
258 289 14932
259 310 16154
391 395 13796
288 346 13476
285 258 13044
391 395 13796
253 386 13481
258 289 14932
285 258 13044
343 277 15226
325 316 13378
336 345 14342
368 308 16575
378 272 15057
259 310 16154
255 275 13025
268 346 14777
296 271 13742
278 386 16833
335 265 15168
285 258 13044
328 398 13956
382 304 14967
397 321 13931
262 389 15106
335 383 16287
393 377 16543
325 316 13378
335 383 16287
255 275 13025
368 308 16575
343 277 15226
335 383 16287
285 258 13044
365 259 16982
292 316 16581
256 289 14860
366 375 15556
368 308 16575
281 287 14581
360 331 15444
394 379 13241
259 310 16154
388 268 14521
258 289 14932
398 378 15048
366 375 15556
394 379 13241
288 346 13476
285 258 13044
258 289 14932
335 383 16287
262 389 15106
292 289 14548
335 381 15531
262 384 15363
255 275 13025
262 384 15363
335 381 15531
360 331 15444
360 331 15444
360 331 15444
288 346 13476
343 277 15226
268 346 14777
253 386 13481
308 371 13865
336 345 14342
376 262 16090
343 277 15226
376 262 16090
336 345 14342
287 342 15977
259 354 13356
256 289 14860
310 387 14105
393 377 16543
395 315 16790
382 304 14967
278 386 16833
309 377 15136
385 254 14819
256 289 14860
378 272 15057
259 310 16154
394 379 13241
398 378 15048
398 378 15048
335 383 16287
308 371 13865
360 331 15444
256 289 14860
388 268 14521
256 289 14860
343 277 15226
382 304 14967
335 265 15168
343 277 15226
335 381 15531
281 287 14581
360 331 15444
366 375 15556
335 383 16287
398 378 15048
398 378 15048
258 289 14932
281 287 14581
366 375 15556
370 366 13618
309 377 15136
278 386 16833
253 386 13481
281 287 14581
355 322 13718
281 287 14581
255 275 13025
382 304 14967
397 321 13931
285 258 13044
391 395 13796
278 386 16833
309 377 15136
292 289 14548
391 395 13796
325 316 13378
335 383 16287
336 345 14342
385 254 14819
256 289 14860
292 316 16581
259 310 16154
308 371 13865
253 386 13481
335 265 15168
360 331 15444
336 345 14342
